pageid,title,section,chunk_id,chunk_text
247418,日本,Introduction,0,"日本國（日語：日本国〔日本國〕／にっぽんこく／にほんこく，羅馬化：nippon koku/nihon koku），通稱日本，是位於東亞的島嶼國家。國土全境以北海道、本州、四國、九州这四大主要岛屿為基礎的14,125座島嶼組成，周圍被太平洋及鄂霍次克海、日本海、东海等陆缘海環抱；東北與存有主權爭議的千島群島鄰接、西鄰朝鮮半島及俄屬遠東、西南則以琉球群島与臺灣、中国大陆隔海相望。日本全國以八大地方為基礎劃分為47個都道府縣，总面積約37.8萬平方公里，其中75%屬山地丘陵地帶。總人口約1.2億，其中逾3,300萬人居住在首都東京及周邊數縣構成的首都圈，人口規模居於世界各大都市圈前列。政治上施行单一制及议会制君主立宪制，君主天皇為國家及國民團結的象徵，實際的政治權力則由國會與首相所領導的內閣掌管。 傳統認為日本建國日為公元前660年2月11日，其皇室號稱「萬世一系」未曾更迭。4世紀左右，日本出現首個統一政權，其後由大化革新確立以天皇為首的政治體制，效法中國隋唐的制度與文化，融入漢字文化圈的習俗與價值觀，對日本造成了深遠影響。12世紀末，日本開始長達六百多年的武家政權時代，各地大名（武士勢力）"
247418,日本,Introduction,1,首個統一政權，其後由大化革新確立以天皇為首的政治體制，效法中國隋唐的制度與文化，融入漢字文化圈的習俗與價值觀，對日本造成了深遠影響。12世紀末，日本開始長達六百多年的武家政權時代，各地大名（武士勢力）主導政治，天皇僅為名義上的天下共主；此時期依幕府開設地点分為鎌倉、室町、江戶等3大時代，期間包含政治紛亂的南北朝、戰國及安土桃山時代。17世紀起，江戶幕府治下的日本實行鎖國政策長達2百年，直到1854年黑船來航後被迫開國。随后，江戶幕府迫於政治壓力下交還政權予天皇，最终倒台，使日本政治從封建重回中央集權。 經歷短暫內戰後，日本進行明治維新，整頓內政與富國強兵的政策主導了近代日本的開端；經歷各領域的現代化改革、以及對外擴張領土後，進入20世紀時，已是東方世界唯一能和西方列強爭霸的大國。日本在一戰後歷經短暫的大正民主時期，到1930年代政局落入軍部控制走向法西斯化，在1931年展開與中國的長期戰爭，1940年进一步与德意两国结盟成为二戰轴心国一员，為二戰亞太戰場的主要侵略方，最终於1945年投降。戰後日本在同盟國主導下進行國家整體改造，經濟上解散財閥，政治上完全實施內閣制，天皇成為虚位元首，並
247418,日本,Introduction,2,"，1940年进一步与德意两国结盟成为二戰轴心国一员，為二戰亞太戰場的主要侵略方，最终於1945年投降。戰後日本在同盟國主導下進行國家整體改造，經濟上解散財閥，政治上完全實施內閣制，天皇成為虚位元首，並在戰後新憲法第九條中放棄發動戰爭的權利，僅擁有自衛隊作為被動防禦之武裝力量。此後的日本在穩定兩黨體制之下全力發展經濟，實現經濟高速增長，使其成為亞洲最早的已開發國家，經濟體量在1980年代僅次美國達到世界第二。 日本實行社会市场经济，為世界第四大經濟體，亦為七大工業國組織成員，是世界上唯二的人口過億的已開發國家，主要基於日本經濟在二戰後的巨幅增長。現在日本的科研能力、工業基礎和製造業技術均位居世界前列，並為世界前十大出口國和進口國。20世纪后期，日本GDP一度達到美國的7成；但在1990年代经历经济泡沫破裂，從此長期陷入經濟低迷增長，同時面臨少子化和老龄化等日益嚴重的人口問題。至2022年，日本的国内生产总值依國際匯率可兌換成為約4.1兆美元，人均國民收入在33,800美元左右，人類發展指數亦在最高群組行列。除此之外，日本文化在世界上也有突出的地位，其流行文化擁有相當影響力，尤其是在動漫及"
247418,日本,Introduction,3,"本的国内生产总值依國際匯率可兌換成為約4.1兆美元，人均國民收入在33,800美元左右，人類發展指數亦在最高群組行列。除此之外，日本文化在世界上也有突出的地位，其流行文化擁有相當影響力，尤其是在動漫及電子遊戲領域。"
247418,日本,國名,0,日語中「日本」一詞有多種讀法，一般讀作「，Nippon」或「，Nihon」。時至今日，日本政府並無规定其标准读音，因此两种读法并存。“日本”的意思為“朝阳升起的地方”，泛指東方。在《万叶集》及《源氏物語》中都有出現；後來受到漢文化的影響，此名詞的發音由训读改為今日的音读。由於日本國土地處中國東面的海洋上，故此中文使用上又稱其為「東瀛」或「東洋」。 中國古籍曾以「倭國」稱呼日本，日本則以大和（やまと）自稱。一般學界認為「日本」一名是從670年成立，但詳細改名經歷則有日本自行改稱、或武則天下令改稱兩種說法。根據《隋书》記載，645年，日本使者派遣小野妹子前往隋國時，其國書就寫明：「日出處天子致書日沒處天子無恙」據《新唐书》卷220的「日本」記載：咸亨元年（670年），日本使者在慶祝中國平定高麗同時，表示希望中國不要再用「倭」來稱他們的國家、並改以「日本」稱之。當時使者稱該國「因近日出，以為名」。史學家張守節在著書《史記正義》的百濟章節中多次註稱「又倭國，武皇后改曰日本國」。高明士在探討武則天說時，表示唐朝政府當時可能無法確認日本使者對改名的確實意向，所以最後由武則天裁定以「日本」稱之。
247418,日本,史前及原始時代,0,已知最早的日本石器工具可追溯到距今約3.8万–3.9万年前。今日的考古學證據則表明，古代日本的原住民为繩文人，之後东北亚和东亚遷徙而來的各民族与原住民融合，逐渐形成今天的大和民族。大約在公元前一萬年開始，日本進入新石器時期，是為繩紋時代（公元前一萬年至公元前3世紀）和彌生時代（公元前3世紀至公元3世紀）。伴隨著從東亞遷入日本的渡來人，日本在彌生時代初期出現陶器、鐵、銅器以及水田等文化，逐漸成為一個農業社會，同時一些如奴国等小國也開始與中國發展外交關係。
247418,日本,古代,0,在《日本書紀》中，依據神話天照大神的後裔神武天皇於辛酉年舊曆一月一日（公元前660年2月11日）即位為初代天皇、並建立日本國。現今日本國的建國紀念日即依此而定為2月11日。 《三國志》記載三國時代日本古稱倭，當時與中國有朝見關係者有三十餘個部落，其中被推為共主最有聲望的是邪馬台國的女王卑彌呼。公元239年六月，倭女王遣使至帶方郡要求至京城朝獻魏國天子。 日本朝廷一直透過朝鮮半島的諸國吸收來自於亞洲大陸的文化。587年，豪族蘇我氏的頭目蘇我馬子擊敗物部守屋，又在592年暗殺崇峻天皇、立女皇推古天皇為帝，聖德太子攝政，日本進入飛鳥時代。聖德太子制定官位十二階，并頒布憲法十七条，嘗試建立一個以天皇為中心的國家。聖德太子過世後，蘇我氏長期掌權。645年，中大兄皇子和中臣鐮足暗殺蘇我入鹿，掌握政權，是為「乙巳之變」。中大兄皇子擁立孝德天皇即位，推動大化革新等改革，仿效中国唐朝的政治制度，建立了一個中央集权的君主制的國家。710年，元明天皇遷都平城京，日本進入奈良時代，律令制也日益成熟。朝廷的版圖在這時也逐漸擴張，征服东北地方部分地區和南九州。 奈良時代後期，由于贵族权力超越皇权，政局動蕩，君主制
247418,日本,古代,1,央集权的君主制的國家。710年，元明天皇遷都平城京，日本進入奈良時代，律令制也日益成熟。朝廷的版圖在這時也逐漸擴張，征服东北地方部分地區和南九州。 奈良時代後期，由于贵族权力超越皇权，政局動蕩，君主制松弛。794年，桓武天皇遷都平安京（現在的京都府-京都），此後到1192年成立鎌倉幕府的這段期間是為平安時代，日語假名以及國風文化在此時代成形。嵯峨天皇时期的《新撰姓氏錄》记录居住在京都及畿內的1182个氏族，其中「漢」為163氏，「百濟」為104氏，「高句麗」為41氏，「新羅」為9氏，「伽倻」為9氏。 平安時代末期，本依附于贵族的武士阶级迅速崛起，出現以東國為勢力范圍的源氏和以西国為勢力範圍的平氏兩個龐大的武家勢力，1159年，發生平治之亂，源氏實力雖遭遇很大削弱，但在東國仍擁有強大實力，國家內部因為割據有源平二氏及奧州藤原氏等勢力，加上各界不滿架空朝廷的太政大臣平清盛專橫擅政而內戰頻仍。經過長期的源平合戰，平氏被趕出京都，將朝廷遷往福原京，之後於1185年在壇之浦之戰中徹底覆滅。
247418,日本,幕府時代,0,1192年，武家首領源赖朝被封为征夷大将军，建立镰仓幕府，並展開幕府統治，标志着日本军事贵族掌握国家大权，开始了长达日本600多年的幕府時代。源赖朝過世後，其妻子北條政子的娘家北條氏實力擴大，其父北條時政、弟北條義時開始操縱、暗殺或廢立之後的繼位者，幕府大權旁落於世襲執權的北條氏得宗家之手。承久之亂後，北條氏的委員會制「執權-連署政治」達於全盛。1232年，北條泰時制訂法典《御成敗式目》（又稱《貞永式目》）。該法典最初僅適用於武家內部，後來適用於全國。1274年與1281年，蒙古帝国兩次侵日都未能成功，而戰後受貨幣經濟影響，無法恩賞抗元兵，導致御家人的貧困與御家人制度的解體。北條氏實行一族獨裁，加深御家人和非御家人武士的反感，地方武士和農民積極進行反幕活動，幕府由盛轉衰。後醍醐天皇乘機發動正中之變與元弘之變，倒幕號召得到各地武士響應。1333年5月新田义贞攻陷鎌倉，北條氏控制的鎌倉幕府滅亡。 後醍醐天皇掌握大權以後，并沒有滿足武士階層的期望。大軍閥足利尊氏成為所有武士的代表，于1336年攻陷京都，扶持兩統迭立中的持明院統光明天皇即位。大覺寺統的後醍醐天皇把持著皇室的三神器逃到吉野山中，
247418,日本,幕府時代,1,。 後醍醐天皇掌握大權以後，并沒有滿足武士階層的期望。大軍閥足利尊氏成為所有武士的代表，于1336年攻陷京都，扶持兩統迭立中的持明院統光明天皇即位。大覺寺統的後醍醐天皇把持著皇室的三神器逃到吉野山中，堅持自己才是正統，足利尊氏則在京都建立室町幕府，于是出現京都（北朝）和吉野（南朝）兩個對立的朝廷。南北朝的征戰持續將近60年，1392年，足利義滿逼南朝的後龜山天皇讓位，由室町幕府擁立的北朝後小松天皇成為天皇，也終止長達57年的南北朝時期。 1401年，室町幕府第三任將軍足利義滿為了经济利益和抗衡天皇而向明朝朝貢，大明皇帝遂封其為「日本國王」，但幕府於7年後與明朝斷交。 室町幕府末期（1467年）發生應仁之亂，標誌著日本進入長達148年的戰國時代。1573年，大名織田信長，亦是當時最強悍的諸侯，攻下室町幕府所在地二條御所，將足利義昭流放到河內國，室町幕府滅亡，日本進入安土桃山時代（1573年至1603年）。1582年，織田信長因家臣明智光秀發動兵變而被害。信長重臣羽柴秀吉繼承其勢力，繼續進行統一日本的戰爭。1586年，秀吉受賜姓豐臣氏並就任太政大臣與關白的最高官職，並於1590年击败北條氏
